Site,Stage,Year,Column,Row,Genotype,yield,aphidcov,lcol,lrow,Block,Site.o,Environment
06S3BRE,06S3,2006,2,4,574,1.95,NA,-1.5,-26.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,5,404,2.75,NA,-1.5,-25.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,6,498,1.89,NA,-1.5,-24.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,7,504,1.86,NA,-1.5,-23.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,8,515,2.09,NA,-1.5,-22.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,9,440,1.58,NA,-1.5,-21.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,10,494,1.72,NA,-1.5,-20.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,11,538,2.12,NA,-1.5,-19.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,12,545,2.51,NA,-1.5,-18.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,13,509,2.16,NA,-1.5,-17.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,14,407,2.02,NA,-1.5,-16.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,15,479,2.2,NA,-1.5,-15.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,16,495,2.34,NA,-1.5,-14.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,17,346,2.2,NA,-1.5,-13.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,18,486,2.42,NA,-1.5,-12.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,19,405,2.61,NA,-1.5,-11.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,20,520,1.91,NA,-1.5,-10.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,21,464,2.05,NA,-1.5,-9.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,22,488,2.01,NA,-1.5,-8.5,1,06BRE01,06BRE
